Robot,Embodiment,Mobility,Total number of dof,Manipulator type,DoF Manipulator,Height,Length,Width,Diameter,Weight,Shell material type,Color pallete,Applications,Target user group,Commercially available,Social Software Capabilities,Sensors,Interaction modalities,Face,Software Extension Capability,total number of associated papers,year,robot number,modality number
Telenoid,['android'],on-spot mobile,12,gesture,2,800,,300,,5,"['soft', 'full', 'undressed']",['white'],['research'],['research groups'],used to be available,"['pose tracking', 'teleoperation']","['camera', 'microphone']","['eye movement', 'gesture', 'head movement', 'facial expression', 'sound']",['fully-actuated'],not mentioned ,3,2009,22,5
Robovie R3,['humanoid'],fully-mobile,17,gesture,8,1080,,,,35,"['hard', 'full', 'undressed']","['white', 'variable']",['research'],['research groups'],available ,"['WoZ', 'speech synthesis', 'preprogrammed behaviors']","['camera', 'microphone', 'touch', 'laser']","['body movement', 'head movement', 'gesture', 'speech']",['LED features'],not mentioned,3,2010,27,4
Sphero,"['abstract', 'mechanoid']",fully-mobile,,n/a,0,,,,74,0.17,"['hard', 'full', 'undressed']",['variable'],"['entertainment', 'education']",['general public'],available ,"['teleoperation', 'preprogrammed behaviors']",['x'],"['body movement', 'lights']",['x'],support ROS,3,2011,22,2
Asimo,['humanoid'],fully-mobile,57,functional,40,1300,,340,,50,"['hard', 'full', 'undressed']",['white'],"['service', 'education']",['general public'],not available,"['autonomous navigation', 'face recognition', 'gesture recognition', 'object recognition', 'speech recognition', 'sound localization', 'gesture recognition', 'learning abilities']","['camera', 'force', 'ultrasonic']","['speech', 'gesture', 'body movement', 'head movement', 'eye movement', 'lights', 'facial expression']",['LED features'],interface available ,3,2011,22,7
Karotz,['animal-like'],on-spot mobile,2,n/a,0,230,,,,0.418,"['hard', 'full', 'undressed']",['white'],['entertainment'],['general public'],used to be available,"['face recognition', 'speech recognition', 'speech synthesis']","['camera', 'microphone']","['sound', 'speech', 'lights', 'body movement']",['static'],library/API available,3,2011,22,4
Furhat,['humanoid'],on-spot mobile,3,n/a,0,,,,,-1,"['hard', 'full', 'undressed']",['light skin tone'],['research'],['research groups'],available ,"['face recognition', 'speech recognition', 'speech synthesis', 'preprogrammed behaviors']","['camera', 'microphone']","['speech', 'eye movement', 'facial expression']",['back-projected'],not mentioned,3,2012,22,3
CuDDler Robot,['animal-like'],on-spot mobile,8,n/a,4,,,,,-1,"['fabric', 'full', 'undressed']",['white'],['education'],['children'],not available,"['speech recognition', 'gesture recognition', 'emotion recognition']","['microphone', 'touch', 'camera']","['speech', 'gesture']",['x'],not mentioned ,3,2013,18,2
YOLO,['abstract'],fully-mobile,3,n/a,0,,,,,-1,"['hard', 'full', 'undressed']",['white'],['entertainment'],['children'],open-source ,['preprogrammed behaviors'],"['touch', 'lights']","['body movement', 'tactile']",['x'],library/API available ,3,2017,20,2
Cozmo,['mechanoid'],fully-mobile,3,gesture,1,,,,,0.91,"['hard', 'full', 'undressed']","['white', 'black']",['entertainment'],"['general public', 'children']",used to be available,"['autonomous navigation', 'face recognition', 'sound cues generation']","['camera', 'IR']","['body movement', 'lights', 'sound', 'speech']",['screen'],library/API available,3,2019,13,4
Kismet,['hybrid'],on-spot mobile,21,n/a,0,380,,,,7,['none'],"['metallic', 'pink']",['research'],['research groups'],not available,"['face recognition', 'object recognition', 'preprogrammed behaviors', 'sound cues generation']","['camera', 'microphone']","['sound', 'head movement', 'eye movement', 'facial expression']",['fully-actuated'],not mentioned ,2,1998,4,4
Rob@Work,['mechanoid'],fully-mobile,,n/a,0,1030,,,565,100,"['hard', 'full', 'undressed']",['grey'],"['service', 'telepresence']","['general public', 'research groups']",available ,"['autonomous navigation', 'object recognition']","['laser', 'touch', 'depth camera']",['body movement'],['x'],support ROS,2,2001,3,1
Leonardo,['animal-like'],on-spot mobile,69,gesture,-1,762,,,,-1,"['soft', 'full', 'undressed']",['brown'],['research'],['research groups'],not available,"['face recognition', 'object recognition', 'preprogrammed behaviors', 'learning abilities', 'speech recognition']","['camera', 'touch', 'microphone']","['speech', 'head movement', 'body movement', 'eye movement', 'facial expression', 'gesture']",['fully-actuated'],not mentioned,2,2002,4,6
Repliee Q1,['android'],on-spot mobile,31,gesture,18,,,,,-1,"['soft', 'full', 'dressed']",['light skin tone'],"['research', 'service']","['general public', 'research groups']",not available,"['pose tracking', 'speech recognition', 'speech synthesis']","['camera', 'microphone']","['speech', 'body movement']",['fully-actuated'],not mentioned,2,2004,11,2
WAMOEBA-3,['hybrid'],fully-mobile,23,functional,12,1316,656,825,,105,['none'],"['metallic', 'grey', 'black']",['research'],['research groups'],not available,"['speech recognition', 'speech synthesis', 'sound localization', 'autonomous navigation', 'learning abilities']","['camera', 'microphone', 'ultrasonic', 'bumper', 'IR']","['body movement', 'speech', 'head movement', 'eye movement']",['fully-actuated'],not mentioned,2,2004,11,4
RoboSapien X,"['humanoid', 'hybrid']",fully-mobile,9,functional,6,,,,,2,"['hard', 'full', 'undressed']","['white', 'black']",['entertainment'],['children'],available ,"['preprogrammed behaviors', 'teleoperation', 'sound cues generation', 'speech synthesis']","['IR', 'touch', 'ultrasonic']","['tactile', 'body movement', 'gesture', 'lights', 'speech', 'sound']",['LED features'],interface available ,2,2004,11,6
KASPAR,"['humanoid', 'android']",on-spot mobile,14,gesture,6,600,,,,15,"['soft', 'full', 'dressed']",['light skin tone'],"['healthcare', 'research']",['children'],not available,"['face recognition', 'gesture recognition', 'WoZ']","['camera', 'touch']","['sound', 'gesture', 'body movement', 'head movement', 'tactile']",['fully-actuated'],support YARP,2,2005,20,5
PEBBLES,"['abstract', 'mechanoid']",fully-mobile,3,n/a,0,500,800,400,,20,"['hard', 'full', 'undressed']","['grey', 'blue']",['telepresence'],['children'],not available,['teleoperation'],"['camera', 'microphone']","['speech', 'body movement']",['screen'],not mentioned,2,2005,20,2
REEM-C,['humanoid'],fully-mobile,68,functional,52,1650,,600,,80,"['hard', 'full', 'undressed']","['white', 'black']","['research', 'education']",['research groups'],available ,"['autonomous navigation', 'preprogrammed behaviors', 'speech recognition', 'speech synthesis']","['force', 'depth camera', 'microphone', 'ultrasonic']","['body movement', 'gesture', 'head movement', 'speech']",['static'],support ROS,2,2005,20,4
Hoap-3,['humanoid'],fully-mobile,28,functional,12,600,,,,8,"['hard', 'full', 'undressed']","['white', 'metallic']",['research'],['research groups'],used to be available,"['speech recognition', 'speech synthesis', 'object recognition', 'teleoperation']","['camera', 'microphone', 'force']","['speech', 'body movement', 'gesture', 'lights']",['LED features'],interface available ,2,2005,20,4
Roball,"['abstract', 'mechanoid']",fully-mobile,6,n/a,0,,,,,1.8,"['hard', 'full', 'undressed']",['variable'],['entertainment'],['children'],available ,['preprogrammed behaviors'],"['IR', 'lights', 'microphone']",['body movement'],['LED features'],not mentioned ,2,2005,20,1
Stuffed-Toy Robot,['animal-like'],on-spot mobile,10,gesture,4,380,300,240,,1.4,"['fabric', 'full', 'undressed']",['white'],['entertainment'],['general public'],not available ,"['pose tracking', 'preprogrammed behaviors']",['depth camera'],"['body movement', 'tactile']",['static'],not mentioned ,2,2006,19,2
Saya,['android'],on-spot mobile,8,n/a,0,430,,130,,-1,"['soft', 'full', 'dressed']",['light skin tone'],['research'],['research groups'],not available,"['preprogrammed behaviors', 'speech synthesis']",['camera'],"['body movement', 'facial expression', 'speech']",['fully-actuated'],not mentioned ,2,2006,19,3
Bandit,['hybrid'],fully-mobile,19,gesture,14,406,180,560,,7.7,"['hard', 'partial', 'undressed']","['grey', 'brown']",['healthcare'],"['children', 'elderly', 'general public']",not available,"['speech recognition', 'autonomous navigation', 'object recognition', 'face recognition']","['camera', 'depth camera', 'laser']","['gesture', 'body movement', 'facial expression', 'head movement', 'sound']",['static'],support ROS,2,2006,19,5
WAS-5,['humanoid'],on-spot mobile,31,functional,19,1550,600,490,,-1,"['hard', 'partial', 'dressed']","['white', 'grey']",['healthcare'],"['children', 'patients']",not available ,"['WoZ', 'emotion recognition', 'eye tracking', 'face recognition']","['camera', 'force']","['sound', 'body movement', 'head movement']",['partly-actuated'],not mentioned ,2,2007,14,3
Security Warrior,['humanoid'],fully-mobile,18,functional,14,1700,,,500,-1,"['hard', 'full', 'undressed']","['metallic', 'black']",['service'],['general public'],not available,"['autonomous navigation', 'object recognition', 'face recognition']","['ultrasonic', 'temperature', 'laser', 'camera']","['sound', 'body movement', 'gesture']",['static'],not mentioned ,2,2007,14,3
George,"['mechanoid', 'avatar']",fully-mobile,2,n/a,0,,,,,-1,"['hard', 'partial', 'undressed']","['black', 'red']",['research'],['research groups'],not available,"['autonomous navigation', 'speech recognition', 'object recognition', 'learning abilities', 'gesture recognition']","['camera', 'depth camera', 'microphone']","['body movement', 'facial expression']",['screen'],not mentioned,2,2007,14,2
NTU-1,"['humanoid', 'hybrid']",fully-mobile,,n/a,0,1400,800,800,,80,"['hard', 'full', 'undressed']","['blue', 'grey']","['service', 'research']",['research groups'],not available,"['autonomous navigation', 'speech recognition']","['camera', 'laser', 'ultrasonic', 'microphone', 'touch']","['lights', 'screen', 'speech', 'body movement']",['static'],not mentioned ,2,2008,10,4
Mom's friend,['humanoid'],fully-mobile,,functional,-1,1400,500,500,,70,"['hard', 'full', 'undressed']","['blue', 'black']",['research'],['research groups'],not available,"['autonomous navigation', 'speech recognition']","['ultrasonic', 'IR', 'force', 'camera', 'microphone']","['body movement', 'gesture', 'facial expression', 'lights']",['LED features'],interface available ,2,2008,10,4
Olivia 2.0 ,['humanoid'],on-spot mobile,13,gesture,-1,1600,,,,152,"['soft', 'full', 'dressed']","['white', 'pink', 'black']",['service'],['general public'],not available,"['preprogrammed behaviors', 'speech recognition', 'speech synthesis', 'object recognition', 'face recognition']","['camera', 'laser', 'microphone']","['lights', 'speech', 'body movement', 'gesture']",['static'],not mentioned ,2,2009,22,4
Probo,['biomimetic'],on-spot mobile,20,gesture,0,,,,,-1,"['fabric', 'full', 'undressed']","['green', 'blue']",['research'],"['research groups', 'children']",not available,"['preprogrammed behaviors', 'face recognition']","['camera', 'microphone', 'force', 'touch']","['body movement', 'head movement', 'facial expression']",['fully-actuated'],not mentioned ,2,2009,22,3
CosmoBot,['humanoid'],on-spot mobile,9,gesture,6,,,,,-1,"['hard', 'full', 'undressed']","['blue', 'yellow']",['healthcare'],['children'],used to be available,"['speech recognition', 'preprogrammed behaviors', 'teleoperation']",['microphone'],"['body movement', 'speech']",['x'],not mentioned ,2,2009,22,2
Brian,['hybrid'],on-spot mobile,13,gesture,8,,,,,-1,"['soft', 'partial', 'undressed']","['metallic', 'light skin tone']","['healthcare', 'service']","['patients', 'elderly']",not available ,"['speech recognition', 'speech synthesis', 'pose tracking', 'learning abilities']","['depth camera', 'temperature']","['body movement', 'head movement', 'speech']",['fully-actuated'],not mentioned ,2,2009,22,3
IRT Home Assistant Robot ,['humanoid'],fully-mobile,,functional,-1,,,,,-1,"['hard', 'full', 'undressed']","['white', 'black']","['service', 'research']","['general public', 'research groups']",not available ,"['autonomous navigation', 'object recognition', 'compliant actuation']","['camera', 'force']","['body movement', 'gesture', 'head movement']",['x'],not mentioned,2,2009,22,3
RIBA,"['animal-like', 'humanoid']",fully-mobile,22,functional,14,1400,750,840,,180,"['hard', 'soft', 'full', 'undressed']","['white', 'blue']",['healthcare'],['general public'],not available,"['autonomous navigation', 'face recognition', 'pose tracking', 'sound localization']","['microphone', 'camera', 'touch']","['tactile', 'body movement', 'head movement']",['static'],not mentioned,2,2010,27,3
Olivia,['humanoid'],fully-mobile,26,functional,22,1600,,,,152,"['hard', 'full', 'undressed']","['white', 'black']",['research'],"['research groups', 'general public']",not available,"['gesture recognition', 'sound localization', 'autonomous navigation', 'speech recognition', 'speech synthesis', 'learning abilities']","['camera', 'laser', 'depth camera', 'microphone']","['gesture', 'speech', 'body movement', 'screen', 'lights']",['static'],interface available ,2,2010,27,5
ROBOSEM,['mechanoid'],fully-mobile,6,gesture,4,1100,450,450,,-1,"['hard', 'full', 'undressed']","['white', 'orange']","['telepresence', 'education']",['general public'],not available,"['speech recognition', 'speech synthesis', 'sound localization', 'teleoperation']","['camera', 'microphone', 'ultrasonic', 'IR', 'touch']","['body movement', 'speech', 'touch screen', 'lights', 'gesture']",['screen'],interface available ,2,2011,22,5
Mika ,['humanoid'],fully-mobile,9,functional,8,1500,,,,70,"['hard', 'full', 'undressed']","['white', 'black']","['research', 'service']","['general public', 'research groups']",not available,"['speech recognition', 'object recognition', 'autonomous navigation']","['depth camera', 'camera', 'microphone', 'laser']","['speech', 'body movement']",['static'],library/API available,2,2011,22,2
CompanionAble,"['humanoid', 'mechanoid']",fully-mobile,,n/a,0,1200,,,,50,"['hard', 'full', 'undressed']","['yellow', 'blue']",['service'],['elderly'],not available,"['speech recognition', 'autonomous navigation', 'face recognition', 'pose tracking', 'speech synthesis']","['bumper', 'camera', 'laser']","['touch screen', 'body movement', 'eye movement', 'lights', 'speech']",['screen'],not mentioned,2,2012,22,5
Dragonbot,['biomimetic'],non-mobile,6,gesture,0,,,,,-1,"['hard', 'fabric', 'full', 'undressed']","['blue', 'white']",['entertainment'],['children'],available ,['speech synthesis'],['microphone'],"['touch screen', 'speech']",['static'],not mentioned ,2,2012,22,2
EMYS,['hybrid'],on-spot mobile,11,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['white', 'black']","['entertainment', 'research']","['research groups', 'children']",available ,"['object recognition', 'speech recognition']","['camera', 'microphone']","['facial expression', 'sound']","['fully-actuated', 'screen']",library/API available,2,2013,18,2
Vgo,"['abstract', 'mechanoid']",fully-mobile,2,n/a,0,1219,,,,10,"['hard', 'full', 'undressed']","['metallic', 'black']",['telepresence'],['general public'],available ,"['teleoperation', 'sound localization']","['camera', 'depth camera', 'microphone', 'laser', 'IR']","['speech', 'speech', 'body movement']",['screen'],support ROS,2,2013,18,3
Sunflower,['humanoid'],fully-mobile,,functional,-1,,,,,-1,"['hard', 'partial', 'undressed']","['metallic', 'black']",['research'],['research groups'],not available ,"['autonomous navigation', 'preprogrammed behaviors']","['touch', 'ultrasonic', 'laser', 'bumper']","['body movement', 'head movement', 'sound', 'screen', 'tactile', 'gesture']",['static'],not mentioned ,2,2013,18,6
Chester,['mechanoid'],fully-mobile,,n/a,0,,,,,-1,"['hard', 'full', 'undressed']",['brown'],['research'],['research groups'],not available,['WoZ'],"['laser', 'camera', 'depth camera']","['body movement', 'eye movement', 'speech']",['back-projected'],not mentioned ,2,2014,23,3
MOBOT,['mechanoid'],fully-mobile,,functional,-1,,,,,-1,['none'],['metallic'],['healthcare'],['patients'],not available,"['autonomous navigation', 'face recognition', 'gesture recognition', 'object recognition', 'speech recognition', 'learning abilities']","['camera', 'microphone', 'depth camera', 'force']",['body movement'],['x'],support ROS,2,2014,23,1
SociBot,['humanoid'],on-spot mobile,3,n/a,0,1708,,569,,42,"['hard', 'full', 'undressed']",['white'],"['entertainment', 'research']","['research groups', 'general public']",available ,"['speech recognition', 'face recognition', 'gesture recognition', 'speech synthesis']","['depth camera', 'camera', 'IR', 'microphone']","['speech', 'gesture', 'facial expression', 'tactile']",['back-projected'],library/API available ,2,2014,23,4
ConBe,['hybrid'],on-spot mobile,16,functional,14,200,150,150,,-1,['none'],['metallic'],['research'],['research groups'],not available,"['face recognition', 'emotion recognition', 'object recognition']",['camera'],"['body movement', 'head movement', 'eye movement', 'gesture']",['screen'],not mentioned ,2,2014,23,4
Giraff,['abstract'],fully-mobile,2,n/a,0,1700,,,,14,"['hard', 'full', 'undressed']","['grey', 'blue']",['service'],"['patients', 'general public']",available ,['teleoperation'],"['camera', 'microphone', 'bumper']",['speech'],['LED features'],library/API available,2,2014,23,1
RoboParrot,['animal-like'],on-spot mobile,2,n/a,0,500,,100,,-1,"['soft', 'full', 'undressed']","['yellow', 'blue', 'black']",['healthcare'],"['research groups', 'children']",not available,"['WoZ', 'sound cues generation']","['IR', 'touch', 'microphone']","['body movement', 'sound', 'tactile']",['fully-actuated'],not mentioned ,2,2014,23,3
Jibo,['abstract'],on-spot mobile,3,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['white', 'black']","['service', 'entertainment']","['general public', 'patients']",available ,"['speech recognition', 'face recognition', 'gesture recognition', 'object recognition', 'speech synthesis']","['camera', 'microphone', 'touch']","['touch screen', 'speech', 'body movement']",['screen'],library/API available,2,2014,23,3
Opie,['humanoid'],on-spot mobile,,gesture,-1,1100,,,,-1,"['hard', 'partial', 'dressed']",['grey'],['education'],['children'],not available,"['WoZ', 'speech synthesis']",['touch'],"['speech', 'tactile', 'screen', 'eye movement', 'head movement', 'gesture']",['screen'],not mentioned ,2,2015,12,6
BLISS,['biomimetic'],fully-mobile,,n/a,0,,,,,-1,"['hard', 'full', 'undressed']",['white'],['healthcare'],['children'],not available ,['preprogrammed behaviors'],['x'],"['lights', 'Screen']",['screen'],not mentioned ,2,2016,25,2
Scitos-G5,"['mechanoid', 'abstract']",fully-mobile,,n/a,0,1720,,,610,60,"['hard', 'full', 'undressed']","['green', 'black', 'metallic']","['entertainment', 'service', 'healthcare', 'research']",['research groups'],available ,"['autonomous navigation', 'object recognition']","['laser', 'depth camera', 'ultrasonic', 'bumper']","['body movement', 'eye movement', 'lights', 'touch screen']",['static'],support ROS,2,2016,25,4
